source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,20
0,21
0,22
0,23
0,24
0,25
0,31
0,33
0,34
0,38
0,43
0,47
0,49
0,50
0,53
0,55
0,57
0,59
0,61
0,64
0,75
0,77
0,79
0,80
0,86
0,88
0,92
0,103
0,110
0,117
0,124
0,138
0,155
0,156
0,169
0,187
0,203
0,230
0,244
0,249
0,262
0,288
0,307
0,316
0,328
0,351
0,424
0,447
0,464
0,487
0,552
0,652
0,668
0,677
0,698
0,710
0,735
0,793
0,914
0,924
0,951
0,1033
0,1141
0,1147
0,1320
0,1419
0,1426
0,1444
0,1458
0,1540
0,1562
0,1605
0,1636
0,1668
0,1684
0,1710
0,1863
0,1921
0,1931
0,1945
0,2005
0,2027
0,2059
0,2418
0,2519
0,2566
0,2677
0,2710
0,2715
0,2757
0,2803
0,2924
0,2946
0,2987
0,3003
0,3071
0,3094
0,3420
0,3442
0,3485
0,3486
0,3673
0,3710
0,3735
0,3793
0,3856
0,4084
0,4155
0,4173
0,4188
0,4228
0,4785
0,4797
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,13
1,15
1,19
1,21
1,24
1,25
1,26
1,27
1,37
1,38
1,39
1,43
1,45
1,46
1,48
1,54
1,61
1,66
1,77
1,82
1,97
1,99
1,105
1,106
1,117
1,125
1,128
1,144
1,152
1,179
1,180
1,192
1,201
1,202
1,212
1,213
1,220
1,234
1,252
1,261
1,264
1,276
1,289
1,292
1,319
1,330
1,334
1,336
1,337
1,346
1,366
1,390
1,471
1,506
1,511
1,517
1,549
1,550
1,566
1,600
1,672
1,738
1,784
1,829
1,836
1,843
1,948
1,953
1,964
1,967
1,970
1,978
1,991
1,1005
1,1115
1,1134
1,1137
1,1180
1,1300
1,1357
1,1393
1,1489
1,1533
1,1676
1,1754
1,1771
1,1787
1,1790
1,1792
1,1834
1,1873
1,1949
1,1967
1,1988
1,2094
1,2187
1,2211
1,2241
1,2373
1,2402
1,2480
1,2732
1,2777
1,2819
1,2827
1,2976
1,3043
1,3168
1,3176
1,3333
1,3428
1,3444
1,3477
1,3561
1,3578
1,3630
1,3961
1,3966
1,3974
1,4018
1,4187
1,4325
1,4391
1,4426
1,4450
1,4685
1,4766
1,4841
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,16
2,17
2,18
2,22
2,27
2,28
2,33
2,34
2,36
2,37
2,38
2,44
2,50
2,55
2,57
2,58
2,64
2,68
2,82
2,92
2,95
2,96
2,97
2,104
2,108
2,110
2,121
2,131
2,134
2,137
2,140
2,146
2,161
2,167
2,203
2,206
2,208
2,216
2,219
2,247
2,250
2,273
2,306
2,323
2,326
2,347
2,350
2,352
2,370
2,396
2,411
2,435
2,439
2,443
2,449
2,475
2,485
2,553
2,589
2,611
2,621
2,699
2,722
2,751
2,792
2,815
2,849
2,850
2,854
2,887
2,895
2,905
2,960
2,961
2,975
2,980
2,1003
2,1020
2,1174
2,1201
2,1224
2,1227
2,1234
2,1593
2,1606
2,1823
2,2029
2,2033
2,2084
2,2127
2,2184
2,2199
2,2224
2,2226
2,2231
2,2245
2,2366
2,2370
2,2389
2,2392
2,2458
2,2489
2,2510
2,2548
2,2637
2,2660
2,2692
2,2773
2,2830
2,2967
2,3021
2,3042
2,3046
2,3060
2,3093
2,3185
2,3272
2,3412
2,3427
2,3457
2,3522
2,3581
2,3619
2,3680
2,3691
2,3821
2,3958
2,3992
2,4098
2,4190
2,4413
2,4477
2,4484
2,4516
2,4619
2,4809
2,4871
2,4882
2,4993
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,27
3,28
3,31
3,39
3,40
3,45
3,47
3,52
3,55
3,58
3,59
3,67
3,70
3,73
3,80
3,84
3,88
3,92
3,96
3,99
3,100
3,102
3,104
3,128
3,142
3,146
3,155
3,157
3,162
3,171
3,182
3,194
3,239
3,243
3,251
3,286
3,292
3,300
3,316
3,320
3,329
3,357
3,360
3,386
3,434
3,440
3,455
3,480
3,488
3,525
3,542
3,551
3,562
3,615
3,634
3,657
3,662
3,671
3,783
3,790
3,824
3,909
3,913
3,939
3,947
3,972
3,976
3,1017
3,1086
3,1109
3,1119
3,1141
3,1263
3,1311
3,1394
3,1438
3,1455
3,1476
3,1495
3,1739
3,1810
3,1918
3,1920
3,1961
3,2050
3,2082
3,2095
3,2097
3,2238
3,2248
3,2342
3,2641
3,2655
3,2797
3,2833
3,2887
3,3001
3,3063
3,3101
3,3296
3,3418
3,3487
3,3527
3,3645
3,3668
3,3758
3,3873
3,3889
3,3910
3,3957
3,3967
3,3985
3,4021
3,4143
3,4205
3,4465
3,4469
3,4751
3,4789
3,4951
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,18
4,21
4,22
4,23
4,26
4,30
4,37
4,39
4,44
4,46
4,51
4,63
4,64
4,78
4,82
4,105
4,110
4,126
4,139
4,144
4,147
4,154
4,157
4,175
4,176
4,182
4,186
4,190
4,193
4,195
4,203
4,208
4,226
4,229
4,254
4,256
4,266
4,275
4,295
4,328
4,358
4,365
4,378
4,379
4,392
4,408
4,420
4,463
4,506
4,532
4,584
4,618
4,637
4,638
4,643
4,682
4,733
4,748
4,791
4,796
4,806
4,837
4,897
4,899
4,918
4,941
4,1026
4,1042
4,1045
4,1049
4,1059
4,1078
4,1090
4,1124
4,1398
4,1483
4,1500
4,1523
4,1530
4,1567
4,1688
4,1725
4,1733
4,1819
4,1974
4,2042
4,2162
4,2283
4,2308
4,2309
4,2323
4,2484
4,2513
4,2593
4,2604
4,2623
4,2788
4,3012
4,3154
4,3249
4,3395
4,3448
4,3488
4,3489
4,3536
4,3570
4,3597
4,3650
4,3711
4,3929
4,4020
4,4109
4,4210
4,4249
4,4302
4,4324
4,4371
4,4570
4,4582
4,4621
4,4760
4,4823
4,4840
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,14
5,15
5,17
5,27
5,31
5,34
5,35
5,38
5,40
5,41
5,44
5,47
5,57
5,60
5,69
5,72
5,74
5,81
5,83
5,85
5,103
5,113
5,127
5,129
5,132
5,139
5,145
5,146
5,164
5,206
5,224
5,230
5,247
5,260
5,277
5,314
5,317
5,324
5,331
5,368
5,371
5,474
5,478
5,524
5,595
5,596
5,607
5,672
5,695
5,743
5,763
5,773
5,817
5,877
5,934
5,1028
5,1039
5,1046
5,1072
5,1074
5,1098
5,1125
5,1130
5,1186
5,1195
5,1207
5,1232
5,1321
5,1336
5,1449
5,1478
5,1515
5,1555
5,1582
5,1607
5,1704
5,1708
5,1718
5,1743
5,1821
5,1899
5,1990
5,2072
5,2088
5,2190
5,2216
5,2253
5,2300
5,2391
5,2459
5,2477
5,2488
5,2502
5,2512
5,2606
5,2683
