id,att_covid,att_vaccine,att_safety,demographic_age,demographic_income,demographic_education
0,5.0,5.0,5.0,57,1527736.9116858647,4
1,5.0,5.0,5.0,31,80150.4466529096,3
2,5.0,5.0,5.0,47,1150892.3472221477,3
3,5.0,5.0,5.0,66,507259.54175572406,5
4,5.0,5.0,4.0,38,364772.61251413595,0
5,5.0,5.0,4.0,30,983271.0482926932,2
6,5.0,4.0,4.0,22,1507185.198628091,3
7,5.0,4.0,5.0,46,1122878.3918506003,2
8,5.0,5.0,4.0,35,2429130.3403007435,1
9,5.0,5.0,4.0,41,704447.9303925483,2
10,5.0,5.0,4.0,79,1272414.4315374326,2
11,5.0,5.0,4.0,35,933886.9991011489,4
12,4.0,5.0,4.0,26,335463.34081524133,1
13,5.0,5.0,4.0,61,744897.9606317568,1
14,5.0,5.0,4.0,58,755777.9707147783,1
15,5.0,5.0,4.0,37,1291817.7187082192,4
16,5.0,5.0,4.0,49,547066.394489265,1
17,4.0,5.0,4.0,28,446137.5438774079,4
18,5.0,5.0,4.0,25,1847320.8016071208,3
19,5.0,5.0,4.0,74,830735.2218544062,4
20,5.0,5.0,4.0,68,734586.8563710067,2
21,5.0,5.0,4.0,71,2270944.8210754823,3
22,5.0,5.0,4.0,69,2625367.6152920863,1
23,5.0,5.0,4.0,79,3351099.551830138,2
24,5.0,5.0,5.0,55,3818139.4289076063,3
25,5.0,5.0,5.0,69,2266166.645776832,1
26,5.0,5.0,5.0,46,692480.4619542086,5
27,5.0,5.0,5.0,23,822256.9929194462,3
28,5.0,5.0,5.0,48,85658.61115177098,4
29,5.0,5.0,5.0,27,930584.3186618657,4
30,5.0,5.0,5.0,69,2363256.0863202945,3
31,5.0,5.0,5.0,62,2108189.082923712,4
32,5.0,5.0,4.0,54,1457884.665441475,1
33,5.0,5.0,4.0,37,1794137.5520441511,3
34,5.0,5.0,4.0,80,1681879.3565980727,2
35,5.0,5.0,4.0,29,1094226.657059612,5
36,5.0,5.0,5.0,57,3695058.5838506143,1
37,5.0,5.0,5.0,50,1524785.7930755375,2
38,5.0,5.0,5.0,45,2280256.2330359267,5
39,5.0,5.0,4.0,64,402577.47753719543,5
40,5.0,5.0,5.0,40,1217749.9545181675,4
41,5.0,5.0,5.0,45,1629595.3768658577,2
42,5.0,5.0,5.0,40,1232212.2768864392,2
43,5.0,5.0,5.0,77,2709328.4559178157,3
44,5.0,5.0,5.0,75,3410475.379017398,1
45,5.0,5.0,4.0,69,234781.0381827381,1
46,5.0,5.0,5.0,23,3025020.3344230326,0
47,5.0,5.0,4.0,77,1351349.6671722147,1
48,5.0,5.0,5.0,77,330267.5103929403,4
49,5.0,5.0,4.0,69,546633.5312849602,3
50,5.0,5.0,5.0,49,1889842.9463079995,1
51,5.0,5.0,5.0,78,186441.28861920684,2
52,5.0,5.0,4.0,46,700010.6666878691,4
53,5.0,5.0,4.0,40,1786759.4085612753,2
54,5.0,5.0,4.0,22,396020.7887488371,5
55,5.0,4.0,4.0,23,699256.7575478432,0
56,5.0,5.0,5.0,24,605038.092566455,5
57,5.0,5.0,5.0,29,2283528.3618644592,1
58,5.0,5.0,4.0,23,2882310.097418279,2
59,5.0,5.0,5.0,34,328385.5418379916,0
60,5.0,5.0,5.0,53,2983300.8028239664,0
61,5.0,5.0,5.0,32,992944.084568817,3
