id,community
0,93
1,93
2,96
3,61
4,65
5,24
6,28
7,16
8,26
9,80
10,29
11,82
12,95
13,99
14,69
15,56
16,2
17,84
18,38
19,6
20,22
21,45
22,84
23,30
24,42
25,67
26,44
27,12
28,13
29,9
30,30
31,16
32,38
33,65
34,53
35,73
36,39
37,79
38,34
39,92
40,2
41,64
42,83
43,66
44,96
45,51
46,89
47,32
48,87
49,57
50,67
51,22
52,19
53,4
54,71
55,2
56,12
57,36
58,51
59,12
60,64
61,64
62,25
63,95
64,20
65,40
66,97
67,58
68,97
69,45
70,17
71,82
72,8
73,78
74,75
75,75
76,78
77,68
78,51
79,68
80,86
81,12
82,1
83,12
84,10
85,62
86,33
87,93
88,20
89,1
90,67
91,73
92,70
93,42
94,80
95,57
96,36
97,16
98,3
99,94
100,98
101,16
102,4
103,38
104,66
105,45
106,3
107,0
108,20
109,3
110,24
111,93
112,48
113,4
114,5
115,4
116,87
117,0
118,92
119,43
120,66
121,72
122,33
123,34
124,5
125,38
126,82
127,80
128,34
129,94
130,10
131,79
132,45
133,65
134,31
135,59
136,28
137,41
138,59
139,37
140,52
141,27
142,76
143,78
144,95
145,44
146,95
147,26
148,48
149,86
150,63
151,46
152,84
153,1
154,99
155,19
156,23
157,50
158,90
159,83
160,79
161,56
162,84
163,65
164,14
165,83
166,3
167,6
168,15
169,46
170,0
171,35
172,16
173,14
174,16
175,78
176,92
177,98
178,1
179,36
180,9
181,54
182,72
183,43
184,60
185,46
186,32
187,92
188,36
189,11
190,29
191,27
192,5
193,50
194,30
195,12
196,38
197,12
198,57
199,88
200,46
201,63
202,12
203,30
204,65
205,30
206,23
207,22
208,23
209,2
210,24
211,67
212,4
213,12
214,30
215,4
216,50
217,90
218,66
219,66
220,33
221,80
222,22
223,15
224,36
225,51
226,7
227,26
228,83
229,15
230,90
231,46
232,16
233,15
234,5
235,67
236,49
237,5
238,7
239,85
240,89
241,24
242,13
243,57
244,87
245,16
246,7
247,12
248,45
249,26
250,94
251,97
252,17
253,38
254,32
255,53
256,63
257,30
258,57
259,45
260,99
261,65
262,52
263,83
264,7
265,79
266,47
267,92
268,16
269,20
270,59
271,21
272,15
273,69
274,25
275,50
276,5
277,24
278,1
279,61
280,79
281,81
282,30
283,35
284,59
285,55
286,27
287,14
288,55
289,72
290,15
291,67
292,17
293,74
294,80
295,38
296,25
297,52
298,5
299,81
300,31
301,26
302,53
303,31
304,14
305,13
306,22
307,49
308,79
309,98
310,34
311,91
312,61
313,9
314,60
315,78
316,54
317,77
318,78
319,91
320,96
321,2
322,1
323,21
324,78
325,46
326,59
327,24
328,52
329,17
330,25
331,10
332,81
333,16
334,28
335,52
336,73
337,50
338,26
339,83
340,83
341,28
342,83
343,38
344,90
345,48
346,61
347,50
348,99
349,4
350,22
351,58
352,39
353,24
354,49
355,40
356,93
357,81
358,18
359,80
360,45
361,42
362,5
363,22
364,71
365,48
366,84
367,33
368,29
369,80
370,67
371,31
372,77
373,27
374,45
375,39
376,8
377,64
378,59
379,4
380,12
381,26
382,93
383,94
384,31
385,10
386,37
387,80
388,44
389,25
390,22
391,63
392,24
393,8
394,96
395,88
396,31
397,19
398,26
399,47
400,56
401,38
402,37
403,12
404,18
405,1
406,60
407,32
408,0
409,85
410,20
411,81
412,15
413,69
414,31
415,58
416,57
417,58
418,28
419,77
420,54
421,5
422,35
423,65
424,66
425,22
426,54
427,57
428,99
429,50
430,14
431,5
432,47
433,90
434,71
435,16
436,55
437,97
438,35
439,10
440,46
441,86
442,62
443,69
444,2
445,90
446,78
447,21
448,83
449,0
450,58
451,22
452,34
453,66
454,87
455,48
456,17
457,20
458,39
459,30
460,74
461,34
462,80
463,30
464,81
465,80
466,7
467,65
468,44
469,4
470,78
471,24
472,69
473,38
474,23
475,10
476,42
477,56
478,86
479,7
480,48
481,50
482,12
483,17
484,79
485,37
486,39
487,20
488,87
489,44
490,17
491,52
492,80
493,91
494,89
495,32
496,9
497,48
498,88
499,98
500,44
501,99
502,7
503,40
504,80
505,10
506,46
507,99
508,94
509,73
510,65
511,61
512,63
513,24
514,34
515,43
516,38
517,91
518,44
519,85
520,20
521,21
522,83
523,50
524,57
525,32
526,24
527,80
528,12
529,65
530,41
531,24
532,22
533,4
534,32
535,81
536,44
537,88
538,42
539,5
540,87
541,76
542,19
543,14
544,31
545,82
546,65
547,40
548,34
549,10
550,28
551,64
552,15
553,56
554,79
555,57
556,27
