source,target
29,31
29,107
29,146
29,180
29,623
29,931
29,1061
29,1835
29,2231
29,2717
29,2764
29,3010
29,3103
29,4881
31,107
31,146
31,423
31,426
31,623
31,1163
31,1296
31,2074
31,3124
31,3149
31,3540
31,4084
107,146
107,180
107,423
107,426
107,529
107,869
107,1296
107,1443
107,1588
107,2074
107,2083
107,2453
107,2765
107,3544
107,3787
146,180
146,423
146,426
146,529
146,623
146,931
146,1001
146,1061
146,1163
146,1269
146,2454
146,2715
146,3010
146,3310
146,3436
146,3494
146,3787
146,4068
146,4084
146,4606
114,124
114,184
114,234
114,276
114,363
114,477
114,603
114,928
114,937
114,971
114,1470
114,1504
114,1572
114,1590
114,1810
114,1825
114,1986
114,1997
114,2416
114,2493
114,2561
114,2815
114,3158
114,3363
114,3788
114,3895
114,4677
114,4974
124,184
124,234
124,276
124,363
124,406
124,477
124,603
124,612
124,861
124,937
124,942
124,1302
124,1504
124,1572
124,1590
124,1863
124,2001
124,2048
124,3158
124,3242
124,3338
124,3363
124,3765
184,234
184,276
184,363
184,603
184,928
184,1825
184,2967
184,4740
234,2184
10,24
10,43
10,75
10,86
10,113
10,375
10,462
10,568
10,624
10,777
10,877
10,1031
10,1043
10,1319
10,1383
10,1888
10,1921
10,2496
10,3581
10,4197
10,4467
10,4556
24,43
24,75
24,113
24,436
24,706
24,783
24,1252
24,1764
24,1846
24,1921
24,2271
24,2295
24,2808
24,3134
24,3537
24,3581
24,3786
24,4123
43,75
43,86
43,140
43,220
43,375
43,1043
43,1441
43,1921
43,2323
43,2579
43,3109
43,4694
43,4717
75,86
75,113
75,140
75,220
75,324
75,389
75,568
75,582
75,758
75,777
75,1335
75,1383
75,1495
75,1758
75,2250
75,2323
75,2391
75,2573
75,3004
75,3027
75,3537
75,3762
75,3812
75,3909
75,4926
9,13
9,21
9,105
9,132
9,224
9,259
9,272
9,451
9,639
9,733
9,787
9,802
9,979
9,1614
9,1705
9,1775
13,21
13,105
13,260
13,272
13,390
13,507
13,1197
13,1317
13,1379
13,1710
13,2142
13,2996
13,3720
13,3760
13,3896
21,105
21,132
21,224
21,259
21,260
21,390
21,451
21,527
21,639
21,979
21,1109
21,1657
21,1705
21,2142
21,2363
21,2933
21,3020
21,3665
21,3896
21,4328
105,132
105,224
105,303
105,410
105,733
105,1064
105,1197
105,1710
105,1785
105,1938
105,3112
105,4492
112,141
112,442
112,448
112,480
112,496
112,711
112,1012
112,1116
112,1164
112,1490
112,1679
112,1916
112,2745
112,2941
112,3944
112,4951
141,442
141,448
141,1671
442,448
442,480
442,496
442,711
442,717
442,752
442,759
442,1164
442,2136
442,2211
442,2309
442,2755
442,2941
442,3241
442,3250
442,3348
442,3944
442,3949
442,4269
442,4308
442,4470
448,480
448,496
448,711
448,717
448,1116
448,1164
448,1412
448,1490
448,1544
448,2136
448,2418
448,2711
448,2743
448,3712
448,3806
448,3949
448,4028
448,4468
448,4775
6,35
6,58
6,136
6,203
6,257
6,567
6,874
6,936
6,994
6,1448
6,1711
6,1791
6,2412
6,4114
35,58
35,136
35,334
35,459
35,659
35,710
35,723
35,888
35,1339
35,2387
35,2955
35,3475
35,3865
35,4049
35,4566
35,4594
58,136
58,203
58,257
58,336
58,459
58,509
58,593
58,722
58,888
58,3430
58,3637
58,4049
58,4654
136,203
136,257
136,459
136,550
136,593
136,710
136,994
136,1118
136,1465
136,1845
136,2249
136,3576
136,4144
136,4654
19,27
19,127
19,157
19,221
19,222
19,264
19,425
19,466
19,815
19,1220
19,1733
19,2162
19,2366
19,2970
19,3071
19,4679
27,127
27,157
27,221
27,222
27,425
27,469
27,504
27,884
27,1503
27,1529
27,1629
27,2173
27,2315
27,2395
27,3064
27,4313
127,157
127,425
127,466
127,805
127,815
127,876
127,884
127,1486
127,1629
127,1733
127,1968
127,2162
127,2774
127,2970
127,3362
127,4033
127,4081
127,4333
127,4907
157,221
157,222
157,264
157,466
157,469
157,805
157,846
157,1220
157,1348
157,1395
157,1464
157,1486
157,1526
157,1529
157,1733
157,1763
157,1968
157,2076
157,2143
157,2244
157,2774
157,3064
157,3071
157,3362
157,3667
157,3724
157,3959
157,4047
157,4222
157,4295
157,4333
157,4463
157,4860
103,111
103,253
103,302
103,343
103,473
103,828
103,1111
103,1236
103,1522
103,3458
111,253
111,302
111,404
111,473
111,584
111,938
111,1179
111,1748
111,3314
111,3435
111,3706
111,4795
253,302
253,343
253,519
253,938
253,1357
253,1390
253,1522
253,1748
253,2274
253,2427
253,2507
253,3029
253,3072
253,3121
253,3314
253,3435
253,3443
253,3552
253,3641
253,3950
253,4014
253,4795
302,343
302,404
302,519
302,769
302,828
302,990
302,1111
302,1179
302,1236
302,1390
302,1415
302,1821
302,2046
302,2643
302,3417
302,3552
302,3556
302,4498
126,293
126,381
126,545
126,1225
126,1336
126,1456
126,2539
126,2619
126,3106
126,3445
126,3459
126,3631
126,4004
293,381
293,545
293,588
293,724
293,850
293,906
293,963
293,1225
293,1461
293,1631
293,2247
293,2539
293,2707
293,2799
293,3244
293,3549
293,3582
293,3631
293,4844
381,545
381,588
381,724
381,1315
381,2247
381,2619
381,3459
381,4057
381,4514
381,4648
545,588
545,850
545,906
545,1940
545,1994
545,2539
545,3360
4,28
4,44
4,60
4,320
4,682
4,1131
4,1384
4,1569
4,1749
4,2161
4,3747
4,3828
28,44
28,60
28,84
28,320
28,521
28,654
28,655
28,670
28,1158
28,1253
28,1920
28,2473
28,3935
28,4440
44,60
44,84
44,320
44,654
44,682
44,1158
44,1253
44,3255
44,3289
44,3353
44,3708
44,3828
44,3890
44,4357
44,4505
44,4688
44,4791
60,84
60,655
60,682
60,1253
60,1749
60,1754
60,2167
60,3353
60,3419
60,4789
2,3
2,7
2,232
2,252
2,394
2,495
2,538
2,1127
2,1248
2,1518
2,1604
2,2241
2,2246
2,3084
2,3757
2,3955
2,4154
2,4546
2,4803
3,7
3,232
3,252
3,282
3,538
3,694
3,797
3,1127
3,2015
3,3272
3,4546
3,4803
7,232
7,252
7,282
7,394
7,495
7,694
7,996
7,1127
7,1248
7,2517
7,2669
7,3683
7,4154
7,4324
7,4386
7,4800
232,282
232,394
232,996
232,1762
232,2015
232,2287
232,2436
232,4386
232,4394
232,4445
56,116
56,153
56,162
56,288
56,424
56,564
56,609
56,909
56,1104
56,1107
56,1414
56,1643
56,2230
56,2294
56,2588
56,2989
56,3164
56,3199
56,3303
56,3346
56,3380
56,3526
56,3945
56,4282
56,4831
56,4883
116,153
116,162
116,316
116,323
116,838
116,872
116,1107
116,1227
116,1294
116,1301
116,1378
116,2696
116,3303
116,3526
116,3626
116,4509
116,4527
116,4668
116,4742
116,4865
153,162
153,288
153,322
153,424
153,460
153,1040
153,1104
153,1138
153,1316
153,1352
153,1366
153,2294
153,2318
153,2697
153,2750
153,2797
153,3036
153,3110
153,3222
153,3303
153,3346
153,3625
153,3707
153,3789
153,4161
153,4178
153,4282
162,288
162,316
162,322
162,460
162,564
162,628
162,947
162,995
162,1040
162,1075
162,1227
162,1366
162,1385
162,1414
162,1701
162,1894
162,2697
162,2968
162,4668
162,4742
162,4831
162,4883
118,150
118,182
118,242
118,289
118,470
118,1002
118,1058
118,1168
118,1612
118,1656
