id,att_safety
0,5
1,6
2,4
3,4
4,4
5,5
6,6
7,5
8,5
9,5
10,5
11,4
12,4
13,4
14,6
15,5
16,5
17,6
18,6
19,4
20,5
21,6
22,5
23,5
24,5
25,5
26,4
27,6
28,5
29,5
30,5
31,5
32,6
33,6
34,4
35,5
36,5
37,4
38,5
39,6
40,5
41,5
42,5
43,6
44,5
45,6
46,5
47,6
48,6
49,5
50,5
51,4
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,4
61,5
62,4
63,5
64,6
65,5
66,5
67,5
68,5
69,5
70,5
71,4
72,5
73,5
74,5
75,4
76,5
77,6
78,5
79,4
80,5
81,4
82,4
83,5
84,4
85,5
86,5
87,5
88,6
89,6
90,5
91,5
92,4
93,5
94,4
95,5
96,5
97,4
98,6
99,6
100,4
101,6
102,5
103,4
104,4
105,6
106,5
107,4
108,4
109,5
110,5
111,6
112,6
113,6
114,5
115,4
116,5
117,6
118,5
119,5
120,4
121,4
122,5
123,5
124,5
125,6
126,4
127,4
128,6
129,5
130,5
131,5
132,6
133,4
134,5
135,6
136,6
137,5
138,5
139,6
140,4
141,5
142,4
143,5
144,6
145,5
146,5
147,5
148,5
149,6
150,5
151,4
152,6
153,4
154,4
155,5
156,6
157,5
158,4
159,6
160,5
161,4
162,4
163,5
164,6
165,5
166,6
167,5
168,5
169,6
170,6
171,4
172,5
173,4
174,4
175,4
176,5
177,5
178,5
179,5
180,6
181,4
182,4
183,6
184,6
185,6
186,6
187,6
188,6
189,4
190,4
191,6
192,5
193,5
194,5
195,5
196,5
197,6
198,5
199,5
200,4
201,5
202,6
203,4
204,4
205,4
206,4
207,5
208,4
209,6
210,6
211,5
212,6
213,4
214,5
215,6
216,4
217,5
218,4
219,4
220,6
221,5
222,4
223,5
224,5
225,6
226,4
227,6
228,5
229,5
230,5
231,5
232,4
233,5
234,6
235,5
236,5
237,5
238,4
239,4
240,5
241,5
242,4
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,6
252,6
253,6
254,4
255,6
256,4
257,5
258,5
259,5
260,5
261,6
262,6
263,5
264,6
265,5
266,4
267,4
268,6
269,4
270,6
271,5
272,5
273,4
274,5
275,4
276,6
277,5
278,5
279,5
280,6
281,5
282,5
283,4
284,5
285,5
286,6
287,5
288,5
289,6
290,6
291,5
292,4
293,5
294,5
295,4
296,5
297,4
298,5
299,6
300,4
301,5
302,6
303,4
304,5
305,4
306,4
307,5
308,5
309,4
310,5
311,6
312,6
313,4
314,5
315,6
316,4
317,5
318,5
319,5
320,4
321,5
322,5
323,4
324,5
325,5
326,4
327,5
328,4
329,4
330,6
331,5
332,5
333,4
334,6
335,4
336,6
337,6
338,5
339,5
340,5
341,4
342,6
343,5
344,6
345,6
346,6
347,4
348,5
349,6
350,4
351,5
352,4
353,5
354,5
355,5
356,6
357,5
358,4
359,5
360,4
361,5
362,4
363,5
364,5
365,4
366,6
367,6
368,5
369,4
370,4
371,5
372,4
373,4
374,6
